Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Predicted_Score
7,82,No,6,0,71.0,84.19999999999999
4,86,No,7,9,69.0,58.099999999999994
5,74,Yes,7,9,58.0,55.900000000000006
8,53,Yes,4,3,43.0,67.3
1,41,No,5,9,17.0,16.099999999999998
1,68,No,6,7,41.0,35.3
4,43,No,8,5,27.0,38.3
3,65,No,9,1,45.0,52.5
2,90,No,4,4,65.0,58.0
3,51,Yes,7,8,31.0,33.599999999999994
1,41,Yes,5,5,14.0,22.099999999999998
1,56,Yes,8,5,33.0,31.1
6,74,Yes,4,6,60.0,65.4
5,49,No,7,4,34.0,48.4
8,87,No,8,2,82.0,89.19999999999999
2,61,Yes,8,2,40.0,43.6
4,80,Yes,7,4,66.0,62.0
8,82,No,7,3,76.0,84.69999999999999
6,60,Yes,6,4,46.0,60.0
1,54,Yes,8,8,31.0,25.4
4,74,No,7,4,57.0,58.400000000000006
1,87,No,9,3,65.0,52.699999999999996
2,60,No,9,3,38.0,41.5
5,60,Yes,4,0,46.0,61.0
8,60,No,5,9,53.0,62.5
8,99,No,9,3,97.0,94.9
3,83,Yes,6,3,63.0,60.3
4,71,No,7,8,55.0,50.6
6,94,Yes,5,3,79.0,81.9
3,44,Yes,6,6,26.0,32.4
2,78,Yes,8,0,55.0,56.8
6,48,Yes,5,6,37.0,49.8
5,92,No,9,1,78.0,78.69999999999999
5,57,Yes,6,7,45.0,48.699999999999996
5,60,No,7,0,45.0,61.0
5,47,No,7,9,34.0,39.7
3,83,No,6,2,66.0,61.8
7,91,No,8,7,79.0,79.1
6,73,No,9,9,63.0,60.3
4,49,Yes,6,7,32.0,38.9
2,90,No,4,4,64.0,58.0
9,80,Yes,6,4,78.0,87.0
1,96,Yes,6,7,69.0,52.099999999999994
4,63,Yes,9,9,46.0,44.3
1,79,No,7,4,54.0,46.4
6,63,No,8,8,51.0,55.8
4,95,No,6,0,78.0,77.0
5,71,No,5,4,54.0,61.599999999999994
5,95,Yes,7,2,80.0,79.0
9,72,No,7,2,67.0,85.19999999999999
1,77,No,6,1,48.0,49.699999999999996
2,83,Yes,9,2,61.0,56.8
6,96,Yes,5,6,83.0,78.6
5,95,Yes,6,7,82.0,71.5
7,90,Yes,5,7,78.0,78.5
3,98,Yes,7,7,78.0,63.3
3,88,Yes,5,0,70.0,67.8
2,73,Yes,6,6,48.0,44.8
3,50,No,4,1,26.0,43.5
1,70,No,4,9,46.0,33.5
5,57,Yes,5,3,42.0,54.699999999999996
5,62,Yes,9,4,46.0,56.199999999999996
7,99,No,6,0,91.0,94.4
4,61,Yes,8,3,47.0,52.1
3,82,Yes,4,3,61.0,59.69999999999999
1,57,Yes,7,8,31.0,27.199999999999996
8,79,Yes,6,8,71.0,75.4
3,86,Yes,6,9,66.0,53.099999999999994
2,80,No,4,0,52.0,58.0
4,86,Yes,8,7,71.0,61.099999999999994
3,78,Yes,7,3,60.0,57.3
1,59,Yes,8,3,32.0,35.9
3,52,No,7,4,33.0,40.2
2,84,No,4,1,56.0,58.9
8,40,Yes,6,0,32.0,64.0
6,91,Yes,7,4,76.0,78.6
9,43,Yes,6,6,40.0,61.8
8,63,Yes,5,9,60.0,64.3
3,75,No,5,8,54.0,48.0
5,75,No,4,1,59.0,68.5
7,84,Yes,4,7,74.0,74.9
5,41,Yes,9,6,29.0,40.599999999999994
8,67,No,4,1,61.0,78.69999999999999
5,65,No,5,4,50.0,58.0
1,62,Yes,7,6,36.0,33.199999999999996
5,54,Yes,8,2,41.0,54.4
4,75,Yes,4,1,60.0,63.5
6,66,No,8,5,56.0,62.099999999999994
3,45,No,8,9,23.0,28.5
5,74,No,5,5,63.0,61.900000000000006
2,78,No,9,3,54.0,52.3
6,77,Yes,7,0,64.0,76.19999999999999
6,74,No,5,4,64.0,68.4
5,75,No,4,0,58.0,70.0
6,49,No,5,7,38.0,48.9
7,69,Yes,5,1,60.0,74.9
5,92,No,5,8,79.0,68.19999999999999
1,80,No,4,8,57.0,41.0
8,77,No,4,2,69.0,83.19999999999999
4,68,Yes,5,5,51.0,53.3
9,91,No,5,8,86.0,87.6
6,98,Yes,8,6,90.0,79.8
1,82,Yes,7,3,57.0,49.699999999999996
3,78,No,8,2,61.0,58.8
3,89,Yes,9,1,71.0,66.9
4,43,No,7,9,30.0,32.3
6,44,Yes,9,9,34.0,42.9
7,43,Yes,7,0,34.0,60.8
4,75,No,5,9,58.0,51.5
6,98,No,8,0,85.0,88.8
1,84,Yes,7,3,55.0,50.9
8,55,Yes,9,3,51.0,68.5
7,64,Yes,7,8,53.0,61.400000000000006
9,53,Yes,4,9,51.0,63.3
3,50,No,7,0,31.0,45.0
2,68,Yes,5,3,44.0,46.3
1,73,Yes,6,2,48.0,45.8
3,61,No,4,8,41.0,39.6
5,53,Yes,6,4,40.0,50.8
2,95,No,5,8,72.0,55.0
3,63,No,6,9,41.0,39.3
4,98,No,7,5,78.0,71.3
7,78,Yes,6,8,70.0,69.8
3,65,No,8,0,41.0,54.0
9,82,No,5,3,78.0,89.69999999999999
8,75,No,8,3,70.0,80.5
4,78,Yes,6,9,61.0,53.3
1,55,Yes,8,9,33.0,24.5
1,97,Yes,4,5,71.0,55.699999999999996
1,77,Yes,6,9,51.0,37.699999999999996
1,98,No,9,0,72.0,63.8
8,71,No,8,9,69.0,69.1
3,45,No,7,4,21.0,36.0
6,73,Yes,6,2,61.0,70.8
3,95,No,9,0,76.0,72.0
5,47,Yes,4,5,30.0,45.7
7,69,Yes,7,2,59.0,73.4
2,66,Yes,6,3,45.0,45.1
6,46,No,7,8,39.0,45.599999999999994
6,66,No,6,1,53.0,68.1
3,64,Yes,6,0,43.0,53.4
6,95,No,5,9,85.0,73.5
5,85,Yes,8,5,70.0,68.5
2,80,No,6,0,56.0,58.0
9,54,Yes,4,0,52.0,77.4
8,64,Yes,9,6,65.0,69.4
3,61,Yes,8,1,39.0,50.1
8,57,No,5,3,48.0,69.69999999999999
9,51,No,8,3,47.0,71.1
3,62,No,8,1,41.0,50.699999999999996
3,90,No,6,5,72.0,61.5
2,84,No,4,9,61.0,46.9
8,78,Yes,6,1,74.0,85.3
1,64,No,4,7,38.0,32.9
8,49,Yes,4,3,42.0,64.9
7,69,No,7,0,60.0,76.4
7,49,No,6,6,35.0,55.400000000000006
3,73,No,5,5,52.0,51.3
1,85,Yes,9,5,61.0,48.5
4,52,No,8,2,32.0,48.2
9,93,Yes,7,9,95.0,87.3
5,68,No,5,6,53.0,56.8
1,77,Yes,9,5,54.0,43.699999999999996
5,80,Yes,9,9,70.0,59.5
8,84,Yes,6,9,78.0,76.9
8,48,Yes,4,8,42.0,56.8
5,52,No,6,2,33.0,53.2
9,76,No,9,2,75.0,87.6
1,53,Yes,6,3,26.0,32.3
4,76,No,7,2,58.0,62.599999999999994
3,48,Yes,5,3,29.0,39.3
2,47,No,9,5,29.0,30.700000000000003
8,78,No,7,0,70.0,86.8
7,79,No,5,1,67.0,80.9
9,93,Yes,7,9,93.0,87.3
2,42,No,8,5,21.0,27.700000000000003
4,94,Yes,4,5,74.0,68.9
6,95,No,4,0,82.0,87.0
3,86,Yes,4,5,65.0,59.099999999999994
8,79,No,8,8,75.0,75.4
3,72,Yes,9,7,55.0,47.699999999999996
2,71,Yes,9,9,54.0,39.1
3,46,Yes,8,4,26.0,36.599999999999994
6,58,No,4,3,48.0,60.3
2,73,Yes,4,5,49.0,46.3
8,53,No,5,4,49.0,65.8
1,89,Yes,5,5,64.0,50.9
7,86,Yes,6,9,81.0,73.1
2,85,Yes,7,2,64.0,58.0
6,95,No,5,6,82.0,78.0
2,96,No,5,7,74.0,57.099999999999994
2,58,No,5,4,32.0,38.8
8,90,No,5,4,83.0,88.0
2,93,No,8,3,68.0,61.3
7,98,No,6,9,90.0,80.3
3,65,No,5,4,44.0,48.0
8,56,Yes,9,9,51.0,60.099999999999994
7,93,Yes,7,7,86.0,80.3
8,67,No,5,4,62.0,74.19999999999999
7,58,No,8,8,48.0,57.8
6,66,No,9,0,56.0,69.6
7,87,No,4,6,79.0,78.19999999999999
5,91,No,4,4,74.0,73.6
7,96,Yes,6,3,82.0,88.1
1,58,No,4,2,32.0,36.8
1,72,No,5,9,46.0,34.699999999999996
9,90,No,8,6,88.0,90.0
5,46,Yes,6,1,35.0,51.099999999999994
5,68,Yes,9,4,56.0,59.8
3,94,Yes,5,1,74.0,69.9
5,82,Yes,4,6,67.0,65.19999999999999
3,44,No,7,5,23.0,33.9
9,69,Yes,5,9,67.0,72.9
9,88,Yes,7,6,86.0,88.8
6,82,Yes,9,8,70.0,67.19999999999999
1,95,Yes,7,1,68.0,60.5
7,97,Yes,9,8,91.0,81.19999999999999
7,47,No,6,6,42.0,54.2
4,81,Yes,8,1,62.0,67.1
8,51,Yes,4,9,44.0,57.099999999999994
6,81,Yes,4,1,67.0,77.1
4,52,No,5,3,35.0,46.7
4,65,No,4,1,46.0,57.5
2,57,No,6,0,31.0,44.199999999999996
2,81,No,4,5,59.0,51.1
4,90,No,5,9,71.0,60.5
5,91,No,4,4,74.0,73.6
8,88,No,8,2,80.0,89.8
6,59,No,9,0,49.0,65.4
4,55,Yes,7,8,39.0,41.0
7,76,Yes,7,7,67.0,70.1
8,42,No,9,5,38.0,57.7
2,66,Yes,7,5,47.0,42.1
7,54,No,8,3,41.0,62.900000000000006
2,97,Yes,6,1,75.0,66.69999999999999
2,73,Yes,5,3,53.0,49.3
8,84,No,8,1,81.0,88.9
2,61,Yes,5,6,37.0,37.6
9,79,No,6,8,77.0,80.4
1,62,No,8,1,36.0,40.699999999999996
9,98,Yes,4,8,95.0,91.8
1,88,No,6,8,65.0,45.8
2,43,Yes,7,7,18.0,25.299999999999997
6,90,Yes,8,0,80.0,84.0
6,93,No,6,4,81.0,79.8
1,96,No,6,9,73.0,49.099999999999994
7,80,No,8,3,74.0,78.5
8,62,No,7,6,57.0,68.19999999999999
2,86,No,9,7,64.0,51.1
8,99,Yes,7,9,97.0,85.9
9,48,No,6,7,42.0,63.3
6,63,Yes,5,1,48.0,66.3
5,60,No,9,2,46.0,58.0
9,80,Yes,9,9,79.0,79.5
9,85,Yes,6,9,83.0,82.5
1,94,Yes,8,6,70.0,52.4
3,92,Yes,8,3,73.0,65.69999999999999
9,55,Yes,8,5,56.0,70.5
2,95,No,7,7,71.0,56.5
4,94,Yes,4,7,76.0,65.9
4,64,No,8,6,49.0,49.4
2,65,Yes,8,1,43.0,47.5
3,88,No,9,1,67.0,66.3
3,84,Yes,5,2,63.0,62.400000000000006
1,48,Yes,5,3,18.0,29.299999999999997
6,54,No,6,0,43.0,62.4
8,78,No,6,4,72.0,80.8
3,72,Yes,6,6,57.0,49.199999999999996
5,40,Yes,8,9,25.0,35.5
1,44,No,5,4,15.0,25.4
7,95,Yes,6,6,88.0,83.0
1,48,Yes,5,4,24.0,27.799999999999997
9,83,No,8,9,81.0,81.3
8,45,Yes,9,7,40.0,56.5
7,67,Yes,8,6,60.0,66.19999999999999
7,84,No,6,0,73.0,85.4
5,65,Yes,8,0,52.0,64.0
5,67,No,8,4,53.0,59.19999999999999
5,79,No,5,1,65.0,70.9
1,54,Yes,4,8,30.0,25.4
8,45,Yes,7,1,39.0,65.5
1,66,No,6,8,43.0,32.6
4,77,No,4,9,59.0,52.69999999999999
9,43,Yes,9,1,38.0,69.3
9,50,No,6,3,44.0,70.5
5,60,Yes,4,2,44.0,58.0
4,69,No,8,5,53.0,53.9
3,57,No,6,3,37.0,44.699999999999996
3,74,No,4,8,52.0,47.4
5,42,Yes,7,8,30.0,38.2
1,51,No,8,9,22.0,22.099999999999994
5,66,No,6,8,51.0,52.599999999999994
6,92,No,9,2,82.0,82.19999999999999
7,69,No,9,2,63.0,73.4
9,60,Yes,6,3,58.0,76.5
3,77,No,4,8,58.0,49.199999999999996
2,60,Yes,6,5,38.0,38.5
3,99,No,8,8,80.0,62.400000000000006
9,77,No,5,7,70.0,80.69999999999999
7,79,Yes,9,6,72.0,73.4
9,54,Yes,4,4,48.0,71.4
2,57,No,7,8,36.0,32.199999999999996
5,91,No,6,3,73.0,75.1
4,68,No,8,3,51.0,56.3
2,87,Yes,6,7,63.0,51.699999999999996
9,77,No,7,3,74.0,86.69999999999999
9,99,Yes,8,6,98.0,95.4
6,60,No,7,3,45.0,61.5
6,56,Yes,8,0,45.0,63.6
8,80,Yes,5,9,74.0,74.5
6,90,Yes,9,8,81.0,72.0
1,57,No,8,3,30.0,34.699999999999996
4,96,No,7,2,77.0,74.6
7,94,Yes,4,2,86.0,88.4
2,76,Yes,9,8,58.0,43.6
9,99,Yes,5,7,99.0,93.9
8,77,No,6,9,69.0,72.69999999999999
8,51,No,5,6,47.0,61.599999999999994
7,50,No,5,6,42.0,56.0
4,87,Yes,6,3,73.0,67.69999999999999
2,91,No,8,2,71.0,61.599999999999994
3,88,No,5,3,68.0,63.3
6,59,No,9,5,47.0,57.900000000000006
5,48,Yes,5,3,31.0,49.3
8,40,No,4,3,31.0,59.5
6,97,No,9,1,86.0,86.69999999999999
6,42,No,4,6,27.0,46.2
1,60,No,9,5,32.0,33.5
4,62,No,7,1,41.0,55.699999999999996
5,48,Yes,6,4,33.0,47.8
3,93,Yes,9,5,75.0,63.3
9,58,Yes,9,4,57.0,73.8
1,84,Yes,8,3,59.0,50.9
6,94,No,8,8,87.0,74.4
6,85,No,7,2,72.0,78.0
5,91,Yes,8,1,78.0,78.1
5,58,Yes,8,8,46.0,47.8
5,62,Yes,4,7,47.0,51.699999999999996
6,66,No,8,8,58.0,57.599999999999994
8,66,No,8,9,63.0,66.1
2,78,No,7,2,56.0,53.8
6,75,Yes,7,0,62.0,75.0
1,51,Yes,5,0,23.0,35.599999999999994
4,94,Yes,8,2,73.0,73.4
3,66,No,8,3,46.0,50.1
9,85,No,9,1,80.0,94.5
3,73,Yes,8,7,59.0,48.3
6,72,Yes,4,2,60.0,70.19999999999999
1,67,No,9,3,41.0,40.699999999999996
6,70,No,8,5,61.0,64.5
4,71,Yes,4,9,51.0,49.1
8,89,Yes,5,5,82.0,85.9
9,59,No,9,1,55.0,78.9
4,79,Yes,6,5,64.0,59.900000000000006
6,74,Yes,8,3,61.0,69.9
1,70,No,9,4,44.0,41.0
4,97,Yes,7,6,81.0,69.19999999999999
7,70,No,9,6,64.0,68.0
1,77,Yes,7,5,53.0,43.699999999999996
8,61,No,8,9,55.0,63.099999999999994
6,84,Yes,4,5,72.0,72.9
5,80,Yes,7,5,65.0,65.5
9,48,Yes,9,3,44.0,69.3
2,91,No,9,2,70.0,61.599999999999994
5,48,Yes,7,0,34.0,53.8
6,54,Yes,5,2,41.0,59.4
7,52,No,5,2,43.0,63.2
5,61,Yes,5,8,48.0,49.6
9,55,No,7,2,46.0,75.0
1,71,No,7,7,47.0,37.1
7,41,No,9,7,37.0,49.099999999999994
7,65,Yes,8,2,56.0,71.0
4,53,No,8,9,40.0,38.3
9,98,Yes,4,9,96.0,90.3
5,77,No,7,5,63.0,63.69999999999999
4,73,Yes,8,7,58.0,53.3
7,47,No,8,7,36.0,52.7
4,75,No,5,9,61.0,51.5
3,60,Yes,5,9,39.0,37.5
9,95,No,5,8,90.0,90.0
8,85,Yes,6,8,79.0,79.0
1,82,No,8,7,58.0,43.699999999999996
7,95,Yes,5,6,89.0,83.0
9,67,No,5,9,64.0,71.69999999999999
8,85,No,7,2,78.0,88.0
8,83,Yes,9,6,79.0,80.8
6,87,No,5,3,72.0,77.69999999999999
4,45,Yes,7,1,26.0,45.5
8,59,Yes,4,7,52.0,64.9
3,70,No,5,1,49.0,55.5
9,72,No,9,0,66.0,88.19999999999999
2,83,No,7,4,59.0,53.8
2,46,Yes,9,9,28.0,24.099999999999994
7,47,Yes,5,8,39.0,51.2
4,48,No,4,4,31.0,42.8
8,41,Yes,5,1,33.0,63.099999999999994
9,56,No,7,9,57.0,65.1
7,91,No,4,3,83.0,85.1
5,84,No,4,7,69.0,64.9
8,76,Yes,4,6,71.0,76.6
4,81,Yes,6,4,62.0,62.599999999999994
2,83,No,7,3,58.0,55.3
6,56,Yes,6,4,46.0,57.6
9,92,No,9,6,93.0,91.19999999999999
1,77,No,4,4,48.0,45.199999999999996
7,74,Yes,6,7,68.0,68.9
9,99,No,5,6,97.0,95.4
9,86,No,6,6,82.0,87.6
3,78,No,8,8,57.0,49.8
5,69,No,9,7,55.0,55.900000000000006
8,45,No,4,7,37.0,56.5
8,43,Yes,4,5,35.0,58.3
4,90,Yes,9,6,72.0,65.0
1,76,No,9,7,51.0,40.1
1,74,Yes,7,4,50.0,43.4
4,97,No,5,9,82.0,64.69999999999999
6,96,No,9,1,84.0,86.1
8,48,No,9,6,46.0,59.8
6,45,No,7,9,34.0,43.5
9,52,Yes,9,2,55.0,73.2
9,98,Yes,6,9,95.0,90.3
2,61,No,8,7,40.0,36.1
1,67,Yes,8,5,42.0,37.699999999999996
2,69,No,8,3,45.0,46.9
5,91,Yes,9,1,80.0,78.1
4,75,No,8,6,60.0,56.0
4,41,No,5,0,21.0,44.599999999999994
9,97,No,6,6,95.0,94.19999999999999
8,75,Yes,8,9,72.0,71.5
6,47,Yes,4,9,35.0,44.7
1,84,No,9,6,58.0,46.4
2,81,Yes,6,9,59.0,45.1
6,89,Yes,5,2,77.0,80.4
2,48,Yes,8,3,23.0,34.3
5,40,Yes,5,3,26.0,44.5
5,52,Yes,9,3,39.0,51.7
6,89,Yes,8,8,79.0,71.4
6,54,Yes,4,5,39.0,54.9
6,71,Yes,6,9,61.0,59.099999999999994
2,73,Yes,4,8,47.0,41.8
3,82,Yes,8,3,63.0,59.69999999999999
6,70,Yes,7,6,61.0,63.0
8,53,Yes,6,9,51.0,58.3
1,93,Yes,5,8,68.0,48.8
1,86,No,8,9,66.0,43.1
2,53,No,4,2,29.0,38.8
6,87,Yes,9,2,78.0,79.19999999999999
9,94,Yes,7,5,94.0,93.9
4,68,Yes,9,7,56.0,50.3
3,86,No,8,0,68.0,66.6
8,58,No,5,3,50.0,70.3
9,66,Yes,4,7,62.0,74.1
5,48,Yes,6,5,31.0,46.3
9,76,Yes,7,1,73.0,89.1
2,76,Yes,8,7,57.0,45.1
3,82,Yes,8,0,60.0,64.19999999999999
7,67,No,8,0,56.0,75.19999999999999
7,91,Yes,8,6,88.0,80.6
6,96,No,4,9,84.0,74.1
6,63,Yes,6,2,48.0,64.8
2,67,Yes,5,7,41.0,39.699999999999996
6,75,No,7,8,65.0,63.0
4,91,No,8,7,74.0,64.1
3,57,Yes,9,0,38.0,49.199999999999996
2,64,No,8,0,40.0,48.4
1,74,Yes,6,5,49.0,41.9
5,43,No,6,0,30.0,50.8
2,53,No,4,7,29.0,31.299999999999997
2,78,Yes,4,5,57.0,49.3
7,65,Yes,9,4,58.0,68.0
8,47,No,9,5,40.0,60.7
8,63,Yes,4,3,60.0,73.3
4,55,No,7,0,41.0,53.0
1,59,No,9,6,34.0,31.4
7,54,Yes,4,9,46.0,53.900000000000006
1,46,No,8,8,24.0,20.599999999999994
4,97,Yes,4,3,79.0,73.69999999999999
8,56,Yes,7,3,52.0,69.1
2,61,No,4,8,36.0,34.6
6,61,Yes,4,3,52.0,62.099999999999994
6,93,No,8,9,84.0,72.3
9,51,No,9,3,50.0,71.1
5,57,Yes,8,7,47.0,48.699999999999996
4,95,Yes,8,3,81.0,72.5
5,85,No,4,8,70.0,64.0
5,86,Yes,8,7,77.0,66.1
8,54,No,6,4,49.0,66.4
8,76,No,5,8,70.0,73.6
2,55,No,5,7,28.0,32.5
7,44,No,8,9,36.0,47.9
8,41,No,9,3,34.0,60.099999999999994
6,91,Yes,7,3,80.0,80.1
5,67,No,8,0,51.0,65.19999999999999
9,96,No,9,3,95.0,98.1
3,80,No,8,7,60.0,52.5
4,93,No,4,4,78.0,69.8
9,66,No,9,5,65.0,77.1
6,70,No,7,3,57.0,67.5
8,80,Yes,8,4,75.0,82.0
7,75,Yes,6,9,69.0,66.5
2,86,No,9,7,62.0,51.1
3,82,No,5,8,63.0,52.19999999999999
1,40,No,9,2,11.0,26.0
9,89,Yes,6,9,91.0,84.9
7,68,No,6,3,58.0,71.3
1,40,No,6,0,15.0,29.0
3,47,No,7,4,24.0,37.2
4,96,No,7,3,80.0,73.1
4,55,No,9,5,36.0,45.5
5,97,No,7,5,83.0,75.69999999999999
3,67,Yes,5,9,49.0,41.699999999999996
3,61,No,4,5,41.0,44.1
1,57,No,9,2,33.0,36.199999999999996
7,61,No,8,6,52.0,62.599999999999994
1,80,No,8,2,52.0,50.0
2,51,No,9,5,31.0,33.099999999999994
4,58,No,4,9,38.0,41.3
4,64,No,8,0,45.0,58.4
5,89,No,9,7,79.0,67.9
2,98,No,9,6,78.0,59.8
4,44,Yes,6,8,24.0,34.4
1,98,Yes,5,2,72.0,60.8
2,73,Yes,8,7,52.0,43.3
1,78,No,5,1,50.0,50.3
4,98,Yes,9,8,83.0,66.8
4,49,Yes,4,0,32.0,49.4
7,86,Yes,9,9,84.0,73.1
9,96,Yes,8,6,95.0,93.6
9,46,No,5,9,43.0,59.099999999999994
5,99,Yes,6,0,82.0,84.4
1,76,Yes,6,5,54.0,43.1
1,86,No,9,0,59.0,56.6
6,91,Yes,4,3,78.0,80.1
2,99,No,7,6,79.0,60.400000000000006
8,91,Yes,8,1,87.0,93.1
9,54,Yes,9,2,53.0,74.4
4,81,Yes,6,3,65.0,64.1
5,63,No,6,5,48.0,55.3
8,65,Yes,4,8,61.0,67.0
3,65,Yes,6,3,41.0,49.5
5,85,No,8,5,75.0,68.5
3,65,Yes,4,6,44.0,45.0
3,97,Yes,5,3,79.0,68.69999999999999
3,49,Yes,4,5,29.0,36.9
7,56,Yes,8,2,44.0,65.6
7,92,Yes,8,4,85.0,84.19999999999999
7,53,No,5,9,40.0,53.3
8,41,No,9,3,36.0,60.099999999999994
5,87,No,4,6,72.0,68.19999999999999
5,52,Yes,8,5,36.0,48.7
4,66,Yes,8,6,51.0,50.6
7,48,Yes,5,5,38.0,56.3
4,46,Yes,7,1,28.0,46.099999999999994
2,87,Yes,4,6,59.0,53.199999999999996
4,49,No,8,7,30.0,38.9
8,95,No,6,6,88.0,88.0
9,93,No,5,3,87.0,96.3
3,48,Yes,7,3,27.0,39.3
7,61,No,7,4,51.0,65.6
9,62,No,5,8,59.0,70.19999999999999
4,46,No,7,4,23.0,41.599999999999994
3,87,No,8,1,71.0,65.69999999999999
5,48,Yes,7,4,33.0,47.8
1,66,Yes,4,2,38.0,41.6
3,63,No,6,9,45.0,39.3
8,68,No,8,7,67.0,70.3
8,56,No,5,9,49.0,60.099999999999994
4,59,No,6,9,44.0,41.9
2,46,No,9,1,22.0,36.099999999999994
8,82,No,8,3,79.0,84.69999999999999
8,79,No,6,4,74.0,81.4
4,46,No,7,3,26.0,43.099999999999994
3,67,No,9,4,49.0,49.199999999999996
2,58,Yes,5,9,33.0,31.299999999999997
9,59,No,5,3,53.0,75.9
1,83,Yes,4,2,53.0,51.8
7,78,Yes,7,0,69.0,81.8
5,79,No,4,3,65.0,67.9
8,46,No,4,8,37.0,55.599999999999994
4,45,Yes,7,0,28.0,47.0
7,64,Yes,8,6,56.0,64.4
5,80,No,9,2,64.0,70.0
5,98,Yes,4,7,83.0,73.3
9,52,No,6,5,50.0,68.7
9,78,No,9,0,77.0,91.8
9,79,Yes,8,9,79.0,78.9
6,61,No,7,4,49.0,60.599999999999994
6,88,Yes,5,7,77.0,72.3
5,56,No,8,2,40.0,55.6
9,87,No,4,3,83.0,92.69999999999999
8,61,Yes,6,6,53.0,67.6
7,73,Yes,9,5,66.0,71.3
7,47,No,7,6,42.0,54.2
6,88,No,5,8,76.0,70.8
5,84,Yes,9,8,75.0,63.400000000000006
4,57,No,6,1,40.0,52.699999999999996
3,63,Yes,5,2,45.0,49.8
3,99,Yes,7,3,73.0,69.9
6,93,Yes,9,5,84.0,78.3
4,99,No,8,4,84.0,73.4
6,81,Yes,4,5,71.0,71.1
3,41,No,7,7,23.0,29.099999999999994
4,41,Yes,6,1,24.0,43.099999999999994
9,66,No,8,5,64.0,77.1
5,53,No,9,8,38.0,44.8
7,87,Yes,5,4,74.0,81.19999999999999
2,78,Yes,8,0,58.0,56.8
5,92,Yes,8,7,78.0,69.69999999999999
9,92,No,6,3,88.0,95.69999999999999
3,95,No,4,7,76.0,61.5
9,51,No,8,3,48.0,71.1
6,71,Yes,8,7,59.0,62.099999999999994
4,67,Yes,4,8,46.0,48.199999999999996
7,94,Yes,4,4,84.0,85.4
8,67,Yes,5,4,61.0,74.19999999999999
6,85,Yes,9,1,76.0,79.5
5,64,No,5,8,49.0,51.4
6,43,Yes,4,3,30.0,51.3
5,65,No,7,2,47.0,61.0
8,75,Yes,4,1,70.0,83.5
1,89,Yes,5,2,69.0,55.4
7,42,Yes,6,3,35.0,55.7
2,40,Yes,6,8,20.0,22.0
9,56,Yes,9,5,55.0,71.1
1,46,No,8,9,19.0,19.099999999999994
6,87,Yes,6,4,74.0,76.19999999999999
9,44,No,5,8,42.0,59.400000000000006
1,58,No,6,7,34.0,29.299999999999997
4,78,No,7,5,59.0,59.3
4,85,No,4,2,67.0,68.0
9,73,Yes,4,6,70.0,79.8
5,74,Yes,5,9,61.0,55.900000000000006
5,88,Yes,8,5,76.0,70.3
6,55,Yes,4,7,44.0,52.5
1,79,Yes,6,5,50.0,44.9
1,89,No,7,9,68.0,44.9
9,86,Yes,8,3,87.0,92.1
3,78,Yes,8,9,60.0,48.3
4,66,No,8,6,47.0,50.6
1,80,Yes,4,6,55.0,44.0
9,77,Yes,9,7,73.0,80.69999999999999
8,89,No,8,1,87.0,91.9
2,89,Yes,5,5,66.0,55.9
8,64,No,6,2,56.0,75.4
7,65,No,9,7,59.0,63.5
6,95,Yes,7,3,83.0,82.5
1,53,No,6,3,26.0,32.3
7,53,Yes,5,1,41.0,65.3
7,53,Yes,5,5,45.0,59.3
9,64,Yes,9,5,63.0,75.9
1,75,No,6,0,50.0,50.0
2,43,No,4,7,15.0,25.299999999999997
9,86,No,5,2,79.0,93.6
9,54,No,8,0,49.0,77.4
6,71,No,7,9,63.0,59.099999999999994
6,57,No,7,0,42.0,64.19999999999999
4,53,No,5,0,32.0,51.8
4,97,No,8,4,84.0,72.19999999999999
5,40,No,6,4,26.0,43.0
3,81,No,7,0,62.0,63.6
1,59,No,8,4,33.0,34.4
1,49,Yes,8,6,28.0,25.4
7,49,No,4,4,36.0,58.400000000000006
1,98,Yes,5,8,73.0,51.8
1,63,Yes,8,3,37.0,38.3
3,73,Yes,6,8,53.0,46.8
4,67,Yes,7,7,48.0,49.699999999999996
4,66,No,4,0,48.0,59.6
2,79,Yes,6,3,54.0,52.9
1,40,Yes,7,6,12.0,20.0
3,72,Yes,5,0,46.0,58.199999999999996
4,43,No,6,7,24.0,35.3
3,46,Yes,7,1,26.0,41.099999999999994
8,48,Yes,4,7,42.0,58.3
1,55,No,7,3,28.0,33.5
2,44,No,8,7,20.0,25.9
7,73,No,4,0,61.0,78.8
4,99,No,6,4,80.0,73.4
8,62,No,9,8,62.0,65.19999999999999
3,82,No,5,6,59.0,55.19999999999999
6,89,No,4,2,74.0,80.4
9,64,No,4,3,59.0,78.9
1,96,No,4,9,68.0,49.099999999999994
1,90,Yes,7,6,66.0,50.0
8,52,No,8,5,43.0,63.7
3,63,Yes,9,3,44.0,48.3
5,50,Yes,5,2,34.0,52.0
1,91,No,5,1,62.0,58.1
5,90,No,8,9,77.0,65.5
6,56,No,7,8,44.0,51.6
8,76,No,7,2,69.0,82.6
3,52,Yes,8,6,35.0,37.2
3,66,Yes,8,0,50.0,54.6
9,59,No,6,7,50.0,69.9
4,72,Yes,7,0,54.0,63.199999999999996
4,81,No,4,1,59.0,67.1
